animation,type,target,property,modifiers
symbol_11_win,bone,wd_hat_glow,translate,symbol_11_land
symbol_11_land,bone,w4_head,rotation,symbol_11_win
symbol_11_land,bone,wd_coin,translatex,symbol_11_win
symbol_11_land,bone,wd_coin,inherit,symbol_11_win
symbol_11_land,bone,wd_coin2,translatex,symbol_11_win
symbol_11_land,bone,wd_eye_brow_l,translate,symbol_11_win
symbol_11_land,bone,wd_eye_brow_r,translate,symbol_11_win
symbol_11_land,bone,wd_eye_pupil_l,translate,symbol_11_win
symbol_11_land,bone,wd_eye_pupil_r,translate,symbol_11_win
symbol_11_land,bone,w_hand,rotation,symbol_11_win
symbol_11_land,bone,w_arm_2,rotation,symbol_11_win
symbol_11_land,bone,wd_mouth_LOW,translate,symbol_11_win
symbol_11_land,bone,wd_head_back_ctrl,translate,symbol_11_win
symbol_11_land,bone,wd_face_ctrl,translatey,symbol_11_win
symbol_11_land,bone,w2_body,rotation,symbol_11_win
symbol_11_land,bone,wd_r_eyelid,translate,symbol_11_win
symbol_11_land,bone,w3_neck,rotation,symbol_11_win
symbol_11_land,bone,w3_neck,translate,symbol_11_win
symbol_11_land,bone,w_arm_,translate,symbol_11_win
symbol_11_land,bone,wd_thumb2,rotation,symbol_11_win
symbol_11_land,bone,wd_body_front,translate,symbol_11_win
symbol_11_land,bone,wd_fingers2,rotation,symbol_11_win
symbol_11_land,bone,wd_fingers,rotation,symbol_11_win
symbol_11_land,bone,wd_fingers,translate,symbol_11_win
symbol_11_land,bone,wd_coin3,translate,symbol_11_win
symbol_11_land,bone,glow,scale,symbol_11_win
symbol_13_win,bone,static_coin,translate,symbol_13_land;symbol_17_anticipation_loop;symbol_17_anticipation_outro;symbol_17_land;symbol_17_reveal;symbol_17_upgrade;symbol_18_land;symbol_19_land
symbol_17_anticipation_intro,bone,static_coin,translate,symbol_13_land;symbol_17_anticipation_loop;symbol_17_anticipation_outro;symbol_17_land;symbol_17_reveal;symbol_17_upgrade;symbol_18_land;symbol_19_land
symbol_17_win,bone,static_coin,translate,symbol_13_land;symbol_17_anticipation_loop;symbol_17_anticipation_outro;symbol_17_land;symbol_17_reveal;symbol_17_upgrade;symbol_18_land;symbol_19_land
symbol_18_multiply_intro,bone,static_coin,translate,symbol_13_land;symbol_17_anticipation_loop;symbol_17_anticipation_outro;symbol_17_land;symbol_17_reveal;symbol_17_upgrade;symbol_18_land;symbol_19_land
symbol_18_multiply_loop,bone,static_coin,translate,symbol_13_land;symbol_17_anticipation_loop;symbol_17_anticipation_outro;symbol_17_land;symbol_17_reveal;symbol_17_upgrade;symbol_18_land;symbol_19_land
symbol_18_multiply_outro,bone,static_coin,translate,symbol_13_land;symbol_17_anticipation_loop;symbol_17_anticipation_outro;symbol_17_land;symbol_17_reveal;symbol_17_upgrade;symbol_18_land;symbol_19_land
symbol_18_win,bone,static_coin,translate,symbol_13_land;symbol_17_anticipation_loop;symbol_17_anticipation_outro;symbol_17_land;symbol_17_reveal;symbol_17_upgrade;symbol_18_land;symbol_19_land
symbol_19_collect_intro,bone,static_coin,translate,symbol_13_land;symbol_17_anticipation_loop;symbol_17_anticipation_outro;symbol_17_land;symbol_17_reveal;symbol_17_upgrade;symbol_18_land;symbol_19_land
symbol_19_collect_loop,bone,static_coin,translate,symbol_13_land;symbol_17_anticipation_loop;symbol_17_anticipation_outro;symbol_17_land;symbol_17_reveal;symbol_17_upgrade;symbol_18_land;symbol_19_land
symbol_19_collect_outro,bone,static_coin,translate,symbol_13_land;symbol_17_anticipation_loop;symbol_17_anticipation_outro;symbol_17_land;symbol_17_reveal;symbol_17_upgrade;symbol_18_land;symbol_19_land
symbol_19_win,bone,static_coin,translate,symbol_13_land;symbol_17_anticipation_loop;symbol_17_anticipation_outro;symbol_17_land;symbol_17_reveal;symbol_17_upgrade;symbol_18_land;symbol_19_land
symbol_17_anticipation_intro,bone,CG_hit,scale,symbol_13_land;symbol_13_win;symbol_14_win;symbol_15_win;symbol_16_win;symbol_17_land;symbol_17_win;symbol_18_land;symbol_18_win;symbol_19_land;symbol_19_win
symbol_17_anticipation_loop,bone,CG_hit,scale,symbol_13_land;symbol_13_win;symbol_14_win;symbol_15_win;symbol_16_win;symbol_17_land;symbol_17_win;symbol_18_land;symbol_18_win;symbol_19_land;symbol_19_win
symbol_17_anticipation_outro,bone,CG_hit,scale,symbol_13_land;symbol_13_win;symbol_14_win;symbol_15_win;symbol_16_win;symbol_17_land;symbol_17_win;symbol_18_land;symbol_18_win;symbol_19_land;symbol_19_win
symbol_17_reveal,bone,CG_hit,scale,symbol_13_land;symbol_13_win;symbol_14_win;symbol_15_win;symbol_16_win;symbol_17_land;symbol_17_win;symbol_18_land;symbol_18_win;symbol_19_land;symbol_19_win
symbol_17_upgrade,bone,CG_hit,scale,symbol_13_land;symbol_13_win;symbol_14_win;symbol_15_win;symbol_16_win;symbol_17_land;symbol_17_win;symbol_18_land;symbol_18_win;symbol_19_land;symbol_19_win
symbol_18_multiply_intro,bone,CG_hit,scale,symbol_13_land;symbol_13_win;symbol_14_win;symbol_15_win;symbol_16_win;symbol_17_land;symbol_17_win;symbol_18_land;symbol_18_win;symbol_19_land;symbol_19_win
symbol_18_multiply_loop,bone,CG_hit,scale,symbol_13_land;symbol_13_win;symbol_14_win;symbol_15_win;symbol_16_win;symbol_17_land;symbol_17_win;symbol_18_land;symbol_18_win;symbol_19_land;symbol_19_win
symbol_18_multiply_outro,bone,CG_hit,scale,symbol_13_land;symbol_13_win;symbol_14_win;symbol_15_win;symbol_16_win;symbol_17_land;symbol_17_win;symbol_18_land;symbol_18_win;symbol_19_land;symbol_19_win
symbol_19_collect_intro,bone,CG_hit,scale,symbol_13_land;symbol_13_win;symbol_14_win;symbol_15_win;symbol_16_win;symbol_17_land;symbol_17_win;symbol_18_land;symbol_18_win;symbol_19_land;symbol_19_win
symbol_19_collect_loop,bone,CG_hit,scale,symbol_13_land;symbol_13_win;symbol_14_win;symbol_15_win;symbol_16_win;symbol_17_land;symbol_17_win;symbol_18_land;symbol_18_win;symbol_19_land;symbol_19_win
symbol_19_collect_outro,bone,CG_hit,scale,symbol_13_land;symbol_13_win;symbol_14_win;symbol_15_win;symbol_16_win;symbol_17_land;symbol_17_win;symbol_18_land;symbol_18_win;symbol_19_land;symbol_19_win
symbol_17_land,bone,CB1,scale,symbol_17_anticipation_loop;symbol_17_anticipation_outro;symbol_17_reveal;symbol_17_upgrade;symbol_18_multiply_loop;symbol_18_multiply_outro;symbol_19_collect_loop;symbol_19_collect_outro
symbol_17_win,bone,CB1,scale,symbol_17_anticipation_loop;symbol_17_anticipation_outro;symbol_17_reveal;symbol_17_upgrade;symbol_18_multiply_loop;symbol_18_multiply_outro;symbol_19_collect_loop;symbol_19_collect_outro
symbol_18_land,bone,CB1,scale,symbol_17_anticipation_loop;symbol_17_anticipation_outro;symbol_17_reveal;symbol_17_upgrade;symbol_18_multiply_loop;symbol_18_multiply_outro;symbol_19_collect_loop;symbol_19_collect_outro
symbol_18_win,bone,CB1,scale,symbol_17_anticipation_loop;symbol_17_anticipation_outro;symbol_17_reveal;symbol_17_upgrade;symbol_18_multiply_loop;symbol_18_multiply_outro;symbol_19_collect_loop;symbol_19_collect_outro
symbol_19_land,bone,CB1,scale,symbol_17_anticipation_loop;symbol_17_anticipation_outro;symbol_17_reveal;symbol_17_upgrade;symbol_18_multiply_loop;symbol_18_multiply_outro;symbol_19_collect_loop;symbol_19_collect_outro
symbol_19_win,bone,CB1,scale,symbol_17_anticipation_loop;symbol_17_anticipation_outro;symbol_17_reveal;symbol_17_upgrade;symbol_18_multiply_loop;symbol_18_multiply_outro;symbol_19_collect_loop;symbol_19_collect_outro
symbol_17_anticipation_intro,bone,static_coin,scalex,symbol_17_anticipation_loop
symbol_17_anticipation_outro,bone,static_coin,scalex,symbol_17_anticipation_loop
symbol_17_land,bone,static_coin,scalex,symbol_17_anticipation_loop
symbol_17_reveal,bone,static_coin,scalex,symbol_17_anticipation_loop
symbol_17_upgrade,bone,static_coin,scalex,symbol_17_anticipation_loop
symbol_17_win,bone,static_coin,scalex,symbol_17_anticipation_loop
symbol_17_land,bone,coin_value,scale,symbol_17_anticipation_loop;symbol_17_anticipation_outro;symbol_17_reveal;symbol_17_upgrade
symbol_17_win,bone,coin_value,scale,symbol_17_anticipation_loop;symbol_17_anticipation_outro;symbol_17_reveal;symbol_17_upgrade
symbol_17_anticipation_intro,bone,coin_value,translate,symbol_17_reveal
symbol_17_anticipation_loop,bone,coin_value,translate,symbol_17_reveal
symbol_17_anticipation_outro,bone,coin_value,translate,symbol_17_reveal
symbol_17_land,bone,coin_value,translate,symbol_17_reveal
symbol_17_upgrade,bone,coin_value,translate,symbol_17_reveal
symbol_17_win,bone,coin_value,translate,symbol_17_reveal
symbol_11_land,slot,win_frame_bottom_00,attachment,symbol_11_win;symbol_1_win;symbol_2_win;symbol_3_win;symbol_4_win;symbol_5_win;symbol_6_win;symbol_7_win;symbol_8_win;symbol_9_win
symbol_11_land,slot,win_frame_top_00,attachment,symbol_11_win;symbol_1_win;symbol_2_win;symbol_3_win;symbol_4_win;symbol_5_win;symbol_6_win;symbol_7_win;symbol_8_win;symbol_9_win
symbol_11_win,slot,wd_hat_glow,attachment,symbol_11_land
symbol_11_win,slot,wd_hat_glow2,attachment,symbol_11_land
symbol_11_land,slot,collect1_r_blink,attachment,symbol_11_win
symbol_11_land,slot,glow,rgba,symbol_11_win
symbol_11_land,slot,glow,attachment,symbol_11_win
symbol_11_land,slot,particle_burst_0,attachment,symbol_11_win
symbol_11_land,slot,wd_coin_glow,rgba,symbol_11_win
